🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
==((====))==  Unsloth: Fast Llama patching release 2024.6
   \\   /|    GPU: NVIDIA A100-SXM4-80GB. Max memory: 79.256 GB. Platform = Linux.
O^O/ \_/ \    Pytorch: 2.3.0+cu121. CUDA = 8.0. CUDA Toolkit = 12.1.
\        /    Bfloat16 = TRUE. Xformers = 0.0.26.post1. FA = False.
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
GPU = NVIDIA A100-SXM4-80GB. Max memory = 79.256 GB.
49.473 GB of memory reserved.
{'loss': 3.0655, 'grad_norm': 4.724062442779541, 'learning_rate': 7.35565837962798e-05, 'epoch': 17.46}
{'loss': 2.8574, 'grad_norm': 2.1279618740081787, 'learning_rate': 7.131967672889101e-05, 'epoch': 17.68}
{'eval_loss': 2.9378695487976074, 'eval_runtime': 48.3795, 'eval_samples_per_second': 1.674, 'eval_steps_per_second': 0.227, 'epoch': 17.68}
{'loss': 2.8886, 'grad_norm': 0.8781052827835083, 'learning_rate': 6.909830056250527e-05, 'epoch': 17.9}
{'loss': 2.9647, 'grad_norm': 1.9520502090454102, 'learning_rate': 6.68936582115042e-05, 'epoch': 18.12}
{'loss': 2.8776, 'grad_norm': 1.378504753112793, 'learning_rate': 6.470694352861312e-05, 'epoch': 18.34}
{'loss': 2.824, 'grad_norm': 1.2778403759002686, 'learning_rate': 6.25393406584088e-05, 'epoch': 18.56}
{'loss': 2.804, 'grad_norm': 1.439125895500183, 'learning_rate': 6.039202339608432e-05, 'epoch': 18.78}
{'loss': 2.8522, 'grad_norm': 1.0268906354904175, 'learning_rate': 5.8266154551818216e-05, 'epoch': 19.01}
{'loss': 2.7337, 'grad_norm': 1.8020780086517334, 'learning_rate': 5.616288532109225e-05, 'epoch': 19.23}
{'loss': 2.7997, 'grad_norm': 1.6321775913238525, 'learning_rate': 5.4083354661298814e-05, 'epoch': 19.45}
{'loss': 2.7915, 'grad_norm': 0.7748017311096191, 'learning_rate': 5.2028688674975415e-05, 'epoch': 19.67}
